Product Name,Sale Price,Actual Price,Ratings,Offer,Number of Ratings,Number of Reviews
"REDMI Note 10T 5G (Graphite Black, 64 GB)","₹12,390","₹13,745",4.3,9% off,"44,058"," 3,195"
"REDMI Note 9 (Shadow Black, 64 GB)","₹12,490",Same as Sale Price,4.3,No Offer,"1,23,446"," 9,425"
"REDMI Note 9 Pro Max (Aurora Blue, 64 GB)","₹18,999",Same as Sale Price,4.4,No Offer,"41,198"," 3,304"
"Redmi Note 11 (Horizon Blue, 128 GB)","₹19,989",Same as Sale Price,4.2,No Offer,"9,051", 715
"Redmi Note 11 (Space Black, 64 GB)","₹14,000",Same as Sale Price,4.2,No Offer,"9,131", 840
"Redmi Note 11 (Starburst White, 128 GB)","₹19,990",Same as Sale Price,4.2,No Offer,"9,051", 715
"Redmi Note 11 PRO Plus 5G (PHANTOM WHITE, 256 GB)","₹24,999",Same as Sale Price,4.2,No Offer,"2,551", 238
"Redmi Note 11 (Horizon Blue, 64 GB)","₹13,000",Same as Sale Price,4.2,No Offer,"9,131", 840
"Redmi Note 11 (Space Black, 128 GB)","₹18,990",Same as Sale Price,4.2,No Offer,"9,051", 715
"REDMI Note 11 Pro (Stealth Black, 128 GB)","₹20,499",Same as Sale Price,4.1,No Offer,620, 43
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹22,800","₹26,500",4.2,13% off,"1,526", 167
"10 Prime (Bifrost Blue, 128 GB)","₹13,499",Same as Sale Price,4.5,No Offer,33, 6
"Redmi Note 11S (Space Black, 128 GB)","₹15,899",Same as Sale Price,4.2,No Offer,724, 54
"Redmi 9A (Midnight Black, 32 GB)","₹8,299",Same as Sale Price,4.3,No Offer,"14,489", 911
"REDMI 10A (CHARCOAL BLACK, 128 GB)","₹10,690","₹10,990",4.1,2% off,82, 7
"10 Prime (Astral White, 128 GB)","₹13,900",Same as Sale Price,4.5,No Offer,33, 6
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹8,000",Same as Sale Price,4.2,No Offer,"5,850", 437
"Mi 11 Lite (Tuscany Coral, 128 GB)","₹19,999","₹24,999",4.2,20% off,"13,080"," 1,426"
"Redmi 9 (Sky Blue, 128 GB)","₹9,990",Same as Sale Price,4.2,No Offer,"26,778"," 1,529"
"Redmi 8A Dual (Sky White, 64 GB)","₹9,999",Same as Sale Price,4.2,No Offer,"18,219"," 1,189"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹15,999",Same as Sale Price,4.5,No Offer,"8,50,689"," 72,355"
"Redmi Note 9 Pro (Champagne Gold, 64 GB)","₹13,599",Same as Sale Price,4.3,No Offer,"26,623"," 1,827"
"Redmi 7A (Matte Black, 16 GB)","₹6,499",Same as Sale Price,4.3,No Offer,"3,88,888"," 28,158"
"Redmi 8 (Onyx Black, 64 GB)","₹9,490",Same as Sale Price,4.4,No Offer,"9,42,112"," 67,058"
"REDMI Note 11 Pro (Phantom White, 128 GB)","₹19,200","₹20,493",4.1,6% off,620, 43
"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,700",Same as Sale Price,4.3,No Offer,"2,839", 248
"Redmi Note 11 (Space Black, 128 GB)","₹14,990",Same as Sale Price,4.2,No Offer,"9,051", 715
"Redmi Note 11 (Space Black, 64 GB)","₹12,990",Same as Sale Price,4.2,No Offer,"9,131", 840
"Redmi Note 11 (Starburst White, 128 GB)","₹15,450",Same as Sale Price,4.2,No Offer,"9,051", 715
"REDMI Note 11 Pro (Stealth Black, 128 GB)","₹20,499",Same as Sale Price,4.1,No Offer,620, 43
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹22,800","₹26,500",4.2,13% off,"1,526", 167
"Redmi 9A (Nature Green, 32 GB)","₹7,490","₹8,599",4.3,12% off,"14,489", 911
"10 Prime (Bifrost Blue, 128 GB)","₹13,499",Same as Sale Price,4.5,No Offer,33, 6
"REDMI Note 11T 5G (Aquamarine Blue, 64 GB)","₹15,999",Same as Sale Price,4.2,No Offer,"5,387", 438
"Redmi Note 11S (Space Black, 128 GB)","₹15,899",Same as Sale Price,4.2,No Offer,724, 54
"10 Prime (Astral White, 128 GB)","₹13,900",Same as Sale Price,4.5,No Offer,33, 6
